user;date;text;favorite_count;retweet_count;retweeter_usr
ShashiDyamani;Fri Feb 11 22:28:12 +0000 2022;RT @Chellaney: China's military buildup against India surpasses Russia's buildup against Ukraine. But Blinken, speaking in Melbourne alongs…;0;2126;catfishyak
BDBgoldens3;Fri Feb 11 22:28:11 +0000 2022;RT @JuliaDavisNews: A key Russia expert and two other defense experts are being blocked from joining the Pentagon by GOP Sen. Josh Hawley,…;0;4171;catfishyak
buritsch;Fri Feb 11 22:28:11 +0000 2022;RT @JuliaDavisNews: A key Russia expert and two other defense experts are being blocked from joining the Pentagon by GOP Sen. Josh Hawley,…;0;4171;catfishyak
BarbaraCoppock6;Fri Feb 11 22:28:10 +0000 2022;RT @politico: Russia has moved warships from across the globe toward Ukraine in one of the largest displays of naval firepower since the Co…;0;198;catfishyak
JohnGPettus;Fri Feb 11 22:28:10 +0000 2022;RT @ianbremmer: Ukraine vs Russia military by the numbers: https://t.co/fsZF4Tkdib;0;4460;catfishyak
il_gatt0;Fri Feb 11 22:28:09 +0000 2022;RT @NPR: BREAKING: The White House says a Russian invasion of Ukraine could begin before the Olympics end. Americans in Ukraine are urged t…;0;173;catfishyak
MaureenDugan7;Fri Feb 11 22:28:09 +0000 2022;RT @mchooyah: Russia is not going to invade Ukraine. As much as our dear generals who work as contractors would like them to.;0;1758;catfishyak
K0n1;Fri Feb 11 22:28:08 +0000 2022;"RT @permafrost11235: RUSSIA: WE’RE NOT INVADING 
UKRAINE: RUSSIA IS NOT INVADING 
USA: RUSSIA IS INVADING 

BRO SHUT THE FUCK UP

#UkraineC…";0;1;catfishyak
All435Reps;Fri Feb 11 22:28:08 +0000 2022;RT @ColinAllredTX: I believe Russia's acts of aggression along Ukraine's border are a strategic failure and that Putin will emerge weaker.…;0;11;catfishyak
mykpy;Fri Feb 11 22:28:08 +0000 2022;RT @BSBonner: Finns Don’t Wish ‘Finlandization’ on Ukraine (or Anyone) https://t.co/MzMDBbwPKa;0;14;catfishyak
GundamNorthrop;Fri Feb 11 22:28:08 +0000 2022;RT @GordonGChang: If #Biden thinks an invasion of #Ukraine is imminent, why is he not imposing sanctions on #Russia to stop it? #UkraineCri…;0;219;catfishyak
seattlehandicap;Fri Feb 11 22:28:08 +0000 2022;RT @shustry: @Hippy_Chic_SC @nycsouthpaw Backstory: https://t.co/leg85NRz2G;0;30;catfishyak
JunnaLayn;Fri Feb 11 22:28:08 +0000 2022;RT @TristanSnell: If Russia invades Ukraine, Russia should be ejected from the Olympics. For starters.;0;2094;catfishyak
mr_anderssono;Fri Feb 11 22:28:08 +0000 2022;RT @AFP: #BREAKING Blinken tells Ukraine of 'robust' US support against 'increasingly acute' Russia threat https://t.co/9qX5wKBZCn;0;123;catfishyak
msvenezu;Fri Feb 11 22:28:07 +0000 2022;"RT @axios: A Ukrainian skeleton athlete displayed a small sign that read ""No War in Ukraine"" after he finished his race at the Winter Olymp…";0;39;catfishyak
EnverPashaaa;Fri Feb 11 22:28:07 +0000 2022;RT @esaagar: Three days ago from the WSJ: “Mr. Zelensky [Ukraine’s President]…worries that dire public warnings from the U.S. about a possi…;0;67;catfishyak
A_M_M_7_7;Fri Feb 11 22:28:06 +0000 2022;"RT @kgosztola: Russia believes deploying troops near Ukraine border is necessary to defend their security. US-NATO views as escalation.

US…";0;51;catfishyak
vnevzorov;Fri Feb 11 22:28:06 +0000 2022;RT @Andy_Scollick: The moment Russia strikes Ukraine, we all have a moral duty to destroy Russia by any means (political, economic, militar…;0;238;catfishyak
disco_huw;Fri Feb 11 22:28:06 +0000 2022;RT @BBCRosAtkins: British nationals in Ukraine are being told to leave now. Here’s 5 mins on why Russia and the West see NATO and Ukraine i…;0;475;catfishyak
OmerKandem;Fri Feb 11 22:28:06 +0000 2022;RT @IMatviyishyn: To all Russia-Ukraine «experts» with « US intelligence sources», sitting somewhere West and safe: think twice and maybe w…;0;856;catfishyak
vikki_gaur;Fri Feb 11 22:28:05 +0000 2022;"RT @IndoPac_Info: 1/  #CIA expects #Russian attack on Wednesday: Spiegel

""According to several diplomats &amp; military officials, the #US gav…";0;40;catfishyak
VladGutman;Fri Feb 11 22:28:05 +0000 2022;RT @PalmerReport: If the media tries to blame Biden for this Russia-Ukraine mess, after Trump spent four years sabotaging Ukraine on Russia…;0;1930;catfishyak
geoffiejeff;Fri Feb 11 22:28:04 +0000 2022;RT @Reuters: Volunteers are weaving camouflage nets by hand in the basement of a Kyiv library, saying it is also up to them to help the arm…;0;235;catfishyak
Zekesgirl1959;Fri Feb 11 22:28:04 +0000 2022;RT @TristanSnell: If Russia invades Ukraine, Russia should be ejected from the Olympics. For starters.;0;2094;catfishyak
Michael22752732;Fri Feb 11 22:28:04 +0000 2022;"RT @PhilipWegmann: President Biden took selfies and shook hands with staff ahead of his departure to Camp David. 

Half an hour ago, @JakeS…";0;888;catfishyak
secalderone;Fri Feb 11 22:28:04 +0000 2022;RT @DmytroKuleba: We have officially triggered the risk reduction mechanism in accordance with para. III of the Vienna Document, and reques…;0;1400;catfishyak
theleightons327;Fri Feb 11 22:28:04 +0000 2022;RT @mchooyah: Russia is not going to invade Ukraine. As much as our dear generals who work as contractors would like them to.;0;1758;catfishyak
50shadesofEE;Fri Feb 11 22:28:01 +0000 2022;RT @AP: BREAKING: The White House urges Americans to leave Ukraine in the next 24 to 48 hours, and warns the U.S. won't rescue civilians if…;0;1012;catfishyak
phyzario;Fri Feb 11 22:28:01 +0000 2022;"RT @callicrates_: Easy way to tell someone's life is going nowhere

- ""Have you seen euphoria?""
- really concerned about Russia and Ukraine…";0;69;catfishyak
DailyCoffee533;Fri Feb 11 22:28:01 +0000 2022;RT @goodblackdude: After Biden told allies Russia will invade Ukraine on Feb. 16, he will now hold emergency call with Putin tomorrow from…;0;62;catfishyak
deauxpaul;Fri Feb 11 22:28:01 +0000 2022;RT @JoeDeaux: Aluminum-maker Alcoa jumped today as the White House addressed the possibility of Russian military action in Ukraine. Russia…;0;4;catfishyak
XVandetta314;Fri Feb 11 22:28:00 +0000 2022;RT @zerohedge: RUSSIA SAYS BY SPREADING DISINFORMATION ABOUT PLANNED RUSSIAN INVASION OF UKRAINE WESTERN COUNTRIES WANT TO DISTRACT ATTENTI…;0;1817;catfishyak
Tracy_Siv;Fri Feb 11 22:28:00 +0000 2022;RT @PalmerReport: If the media tries to blame Biden for this Russia-Ukraine mess, after Trump spent four years sabotaging Ukraine on Russia…;0;1930;catfishyak
dansabbagh;Fri Feb 11 22:28:00 +0000 2022;RT @RALee85: Russia normally has 35-40 BTGs permanently based near Ukraine, it now has 100 and counting plus 6 additional large landing shi…;0;261;catfishyak
kmcdnyc;Fri Feb 11 22:28:00 +0000 2022;RT @zachsdorfman: Just want to pause for a second to acknowledge that, if Russia does indeed launch a new war against Ukraine, the Ukrainia…;0;1270;catfishyak
KillNoAnimals;Fri Feb 11 22:28:00 +0000 2022;"RT @Investingcom: ⚠️BREAKING:

*GOLD JUMPS TO 3-MONTH HIGH ON RUSSIA-UKRAINE WAR JITTERS

$GC_F $GLD https://t.co/G1LLtlIfZt";0;66;catfishyak
alharba_;Fri Feb 11 22:28:00 +0000 2022;RT @peterdaou: I've never seen one country predict another country's invasion of a third country more than the US with Russia and #Ukraine.…;0;600;catfishyak
ahmedaminghenim;Fri Feb 11 22:27:59 +0000 2022;RT @AFP: #BREAKING Blinken tells Ukraine of 'robust' US support against 'increasingly acute' Russia threat https://t.co/9qX5wKBZCn;0;123;catfishyak
Left4Progrezz;Fri Feb 11 22:27:59 +0000 2022;"RT @catcontentonly: Ukraine Defense Minister: Russia is not invading anytime soon

Ukraine President: Russia is not invading anytime soon…";0;1821;catfishyak
OnlyWongs;Fri Feb 11 22:27:59 +0000 2022;"RT @Wizard_of_Ouzo: Lately, near #Ukraine and #Russia...
#NATO #Putin #Biden #Johnson https://t.co/4QDjL1A1Ot";0;21;catfishyak
vanishingechoes;Fri Feb 11 22:27:59 +0000 2022;RT @AJEnglish: Americans should leave Ukraine within 48 hours, White House warns https://t.co/LaEsdPjn4E https://t.co/HpFCee55Nh;0;88;catfishyak
Maureen06180024;Fri Feb 11 22:27:59 +0000 2022;RT @MarshaBlackburn: If Russia invades Ukraine, it will be because of Biden’s weakness.;0;1945;catfishyak
sitar_strings;Fri Feb 11 22:27:58 +0000 2022;RT @Chellaney: China's military buildup against India surpasses Russia's buildup against Ukraine. But Blinken, speaking in Melbourne alongs…;0;2126;catfishyak
lindarich48;Fri Feb 11 22:27:58 +0000 2022;RT @MarkUrban01: We are at one minute to midnight now in this Ukraine crisis. The failure of Ukraine/Russia talks in Berlin yesterday creat…;0;393;catfishyak
Warrensworld22;Fri Feb 11 22:27:58 +0000 2022;"RT @PhilipWegmann: President Biden took selfies and shook hands with staff ahead of his departure to Camp David. 

Half an hour ago, @JakeS…";0;888;catfishyak
karenann915;Fri Feb 11 22:27:58 +0000 2022;RT @MarshaBlackburn: If Russia invades Ukraine, it will be because of Biden’s weakness.;0;1945;catfishyak
Valastrius;Fri Feb 11 22:27:58 +0000 2022;RT @henryfarrell: https://t.co/vuCr6TF6Rs Russia may be about to invade Ukraine. Russians don’t want it to. Henry Hale, @reutertweets @bryn…;0;38;catfishyak
vaharlow;Fri Feb 11 22:27:57 +0000 2022;RT @shustry: I admit. I have not seen The Intelligence. But there's never been a time when my understanding of Russia -- my 15 years of rep…;0;2213;catfishyak
decent_doge;Fri Feb 11 22:27:57 +0000 2022;"RT @MashwaniAzhar: Putin: ""there will be no winners. And you (European Union) will be pulled into this conflict (Russia - Ukraine) against…";0;397;catfishyak
medproretired;Fri Feb 11 22:27:55 +0000 2022;RT @BaddCompani: I won't be surprised if Russia takes a slice of Ukraine. He pretty much has that part already. If there are mass graves, h…;0;109;catfishyak
pearl7458;Fri Feb 11 22:27:54 +0000 2022;RT @TheEconomist: America and Britain have urged their nationals to leave Ukraine immediately as the threat of conflict intensifies. We rec…;0;29;catfishyak
OuttaHereSoon;Fri Feb 11 22:27:54 +0000 2022;RT @goodblackdude: After Biden told allies Russia will invade Ukraine on Feb. 16, he will now hold emergency call with Putin tomorrow from…;0;62;catfishyak
